Gene,OrigName,PIRATE_Cluster,Af293_name,Af293_Evalue,VOG,VOG_Evalue,Pfam_hits,SPROT_name,SPROT_Evalue,SPROT_gene,SPROT_taxa
CM2730_002871-T1,Afum_CM2730_mRNA_02737,g007532,Afu2g13550-T-p1,5.8e-154,NA,NA,Glyoxalase=3.2e-13,sp|P50107|LGUL_YEAST,1.2e-34,LGUL_YEAST,YEAST
ASFUM117535A-1_001652-T1,Afum_117535A_1_1_mRNA_01622,g007533,Afu3g01260-T-p1,8.2e-169,NA,NA,Acetyltransf_1=6.4e-12;Acetyltransf_10=4.2e-11;Acetyltransf_7=1.4e-10;FR47=5e-09,NA,NA,NA,NA
ASFUM08-12-12-13_002076-T1,Afum_08_12_12_13_mRNA_02041,g007534,Afu1g03960-T-p1,2.5e-150,NA,NA,Rhodanese=2.8e-13,NA,NA,NA,NA
ASFUM08-12-12-13_000219-T1,Afum_08_12_12_13_mRNA_00215,g007535,Afu2g02080-T-p1,4.2e-138,NA,NA,zf-C2H2=2.6e-10,sp|Q05481|ZNF91_HUMAN,5.4e-96,ZNF91_HUMAN,HUMAN
ASFUM08-12-12-13_007829-T1,Afum_08_12_12_13_mRNA_07691,g007536,Afu6g02280-T-p1,2.8e-114,VOG08159,1.5e-21,AhpC-TSA=1.3e-14;Redoxin=6.8e-39,sp|O43099|PRX5_ASPFU,1.6e-112,PRX5_ASPFU,ASPFU
AF100-11-3_004225-T1,Afum_AF100_11_3_mRNA_04070,g007537,NA,NA,NA,NA,RRM_1=1.2e-23,sp|Q08937|ROC2_NICSY,2.9e-37,ROC2_NICSY,NICSY
AF100-10-5_002069-T1,Afum_AF100_10_5_mRNA_01974,g007538,Afu1g03390-T-p1,3.5e-106,NA,NA,Ribosomal_L11=5.4e-13;Ribosomal_L11_N=7.9e-22,sp|Q9C285|RL12_NEUCR,2.3e-89,RL12_NEUCR,NEUCR
CM7632_006955-T1,Afum_CM7632_mRNA_06786,g007539,Afu6g07220-T-p1,1.5e-157,NA,NA,Polyketide_cyc=4.7e-23;Polyketide_cyc2=3e-09,sp|Q9USM9|COQ10_SCHPO,1.3e-24,COQ10_SCHPO,SCHPO
AF100-12-7G_006341-T1,Afum_AF100_12_7G_mRNA_06063,g007540,Afu2g13265-T-p1,1.3e-91,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_009567-T1,Afum_08_12_12_13_mRNA_09400,g007541,Afu8g06550-T-p1,2.4e-157,NA,NA,Pro_CA=2.4e-52,sp|Q5BCC5|CAN_EMENI,1.5e-112,CAN_EMENI,EMENI
AF100-12-39_001473-T1,Afum_AF100_12_39_mRNA_01453,g007542,Afu2g15810-T-p1,2.3e-103,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_006056-T1,Afum_08_12_12_13_mRNA_05948,g007543,Afu5g12035-T-p1,5.1e-125,NA,NA,LOR=7.9e-13,NA,NA,NA,NA
AF100-11C_009748-T1,Afum_AF100_11C_mRNA_09533,g007544,Afu7g01520-T-p1,1.6e-85,NA,NA,BolA=3.5e-32,sp|Q3E793|BOL1_YEAST,3.8e-21,BOL1_YEAST,YEAST
AZTEC-5-223_004142-T1,Afum_AZTEC_5_223_mRNA_03979,g007545,Afu3g07390-T-p1,5.8e-156,NA,NA,NA,NA,NA,NA,NA
LMB-35Aa_005168-T1,Afum_LMB_35Aa_mRNA_05065,g007546,Afu1g05160-T-p1,9.1e-109,NA,NA,RNA_pol_Rpb6=5.1e-15,sp|P20435|RPAB2_YEAST,2.4e-41,RPAB2_YEAST,YEAST
ASFUM08-19-02-46_007672-T1,Afum_08_19_02_46_mRNA_07512,g007547,NA,NA,NA,NA,YCII=2.3e-11,NA,NA,NA,NA
AF100-12-21_003436-T1,Afum_AF100_12_21_mRNA_03312,g007548,NA,NA,NA,NA,MFS_1=6.8e-10;Sugar_tr=8.3e-24,NA,NA,NA,NA
D17_002062-T1,Afum_D17_mRNA_02009,g007549,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-10_000997-T1,Afum_08_19_02_10_mRNA_00980,g007550,Afu7g03970-T-p1,8.7e-114,NA,NA,NA,NA,NA,NA,NA
AF100-12-7G_009125-T1,Afum_AF100_12_7G_mRNA_08739,g007551,Afu7g01140-T-p1,5.4e-91,NA,NA,NA,NA,NA,NA,NA
ASFUM117535A-1_001924-T1,Afum_117535A_1_1_mRNA_01886,g007552,Afu3g02950-T-p1,8.7e-135,NA,NA,adh_short=5.8e-21;adh_short_C2=6e-12,NA,NA,NA,NA
AF106-6-3_005368-T1,Afum_AF106_6_3_mRNA_05178,g007553,Afu5g05570-T-p1,1.2e-119,NA,NA,AAA_17=2.2e-09;AAA_18=4.6e-25,sp|Q8TG40|KAD6_CANAL,1.2e-50,KAD6_CANAL,CANAL
ASFUM08-12-12-13_007509-T1,Afum_08_12_12_13_mRNA_07374,g007554,Afu4g13400-T-p1,8.5e-134,NA,NA,Glyco_tran_28_C=6.9e-22,sp|Q4WQN1|ALG13_ASPFU,4.9e-132,ALG13_ASPFU,ASPFU
AF100-11A_002431-T1,Afum_AF100_11A_mRNA_02331,g007555,Afu1g06430-T-p1,1.3e-97,NA,NA,Ten1=2.9e-45,NA,NA,NA,NA
ASFUM08-12-12-13_004536-T1,Afum_08_12_12_13_mRNA_04450,g007556,Afu3g11720-T-p1,4.3e-104,NA,NA,NA,NA,NA,NA,NA
AZTEC-8-224_004638-T1,Afum_AZTEC_8_224_mRNA_04466,g007557,NA,NA,NA,NA,LSM=3.2e-20,sp|O14036|SMD2_SCHPO,4.2e-46,SMD2_SCHPO,SCHPO
ASFUM08-12-12-13_009695-T1,Afum_08_12_12_13_mRNA_09522,g007558,Afu7g00450-T-p1,1.2e-117,NA,NA,NA,NA,NA,NA,NA
AF100-12-40_000781-T1,Afum_AF100_12_40_mRNA_00769,g007559,Afu2g09480-T-p1,1.3e-99,NA,NA,Ifi-6-16=1.8e-09,NA,NA,NA,NA
ASFUM08-12-12-13_006383-T1,Afum_08_12_12_13_mRNA_06260,g007560,NA,NA,NA,NA,Zn_clus=1.6e-08,NA,NA,NA,NA
DMC2AF100-1-3_007102-T1,Afum_DMC2_AF100_1_3_mRNA_06833,g007561,Afu6g10450-T-p1,8e-108,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_004750-T1,Afum_08_12_12_13_mRNA_04661,g007562,Afu3g13820-T-p1,4.1e-132,NA,NA,GLTP=1.4e-48,sp|D2KC46|PKHA8_CANLF,8.4e-29,PKHA8_CANLF,CANLF
ASFUM08-12-12-13_008659-T1,Afum_08_12_12_13_mRNA_08511,g007563,Afu6g11270-T-p1,3.1e-170,NA,NA,Longin=2.3e-31;Synaptobrevin=3.4e-33,sp|Q9SIQ9|VA712_ARATH,3.5e-35,VA712_ARATH,ARATH
ASFUM08-12-12-13_001017-T1,Afum_08_12_12_13_mRNA_00999,g007564,Afu2g10930-T-p1,2.9e-128,NA,NA,Rer1=9.4e-82,sp|Q498C8|RER1_RAT,1e-66,RER1_RAT,RAT
ASFUM08-19-02-46_003606-T1,Afum_08_19_02_46_mRNA_03530,g007565,Afu1g07550-T-p1,7.4e-209,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_001568-T1,Afum_08_12_12_13_mRNA_01546,g007566,Afu2g16200-T-p1,6.4e-152,NA,NA,UPRTase=2.6e-77,sp|Q9US43|UPP3_SCHPO,1e-45,UPP3_SCHPO,SCHPO
AF100-12-7_003676-T1,Afum_AF100_12_7_mRNA_03568,g007567,Afu3g02970-T-p1,1.6e-172,NA,NA,Peptidase_A4=5.5e-85,sp|P24665|PRTA_ASPNG,4.4e-105,PRTA_ASPNG,ASPNG
ASFUM09-7500806_009888-T1,Afum_09_7500806_mRNA_09643,g007568,NA,NA,NA,NA,NYN=9.5e-09;OST-HTH=1.5e-14,NA,NA,NA,NA
JN10_001931-T1,Afum_JN10_mRNA_01868,g007569,Afu1g02560-T-p1,3.1e-168,NA,NA,NA,NA,NA,NA,NA
CM2495_003213-T1,Afum_CM2495_mRNA_03120,g007570,Afu1g16970-T-p1,4e-168,NA,NA,Arf=1.5e-41;Arf=1.5e-41;Gtr1_RagA=5.4e-08;MMR_HSR1=1.3e-07;Roc=3e-11;SRPRB=3.5e-07,sp|Q02804|ARL3_YEAST,1.3e-55,ARL3_YEAST,YEAST
AF100-12-35_001833-T1,Afum_AF100_12_35_mRNA_01763,g007571,NA,NA,NA,NA,NA,sp|A0A0E3D8M2|PENB_PENCR,3.6e-55,PENB_PENCR,PENCR
ASFUM08-19-02-30_004580-T1,Afum_08_19_02_30_mRNA_04490,g007572,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZTEC-10-245_000031-T1,Afum_AZTEC_10_245_mRNA_00031,g007573,Afu1g01130-T-p1,5.3e-141,NA,NA,2EXR=1e-09,NA,NA,NA,NA
AF100-12-17_008628-T1,Afum_AF100_12_17_mRNA_08359,g007574,Afu5g10270-T-p1,1.6e-134,NA,NA,ArsA_HSP20=4.7e-12;HSP20=1.5e-25,sp|P40920|HSP30_EMENI,2.8e-30,HSP30_EMENI,EMENI
TP32_009749-T1,Afum_TP32_mRNA_09562,g007575,Afu8g01690-T-p1,2.9e-81,NA,NA,MARVEL=7.5e-17,NA,NA,NA,NA
ASFUM08-12-12-13_009493-T1,Afum_08_12_12_13_mRNA_09330,g007576,Afu8g05650-T-p1,1.2e-117,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_003541-T1,Afum_08_12_12_13_mRNA_03474,g007577,Afu3g01150-T-p1,1.7e-132,NA,NA,NA,NA,NA,NA,NA
ASFUM12-7504462_001542-T1,Afum_12_7504462_mRNA_01523,g007578,Afu2g13320-T-p1,5.3e-92,NA,NA,Fis1_TPR_C=2.4e-27;Fis1_TPR_N=2.2e-18,sp|Q2UF96|FIS1_ASPOR,2.4e-91,FIS1_ASPOR,ASPOR
ASFUM12-7504462_002128-T1,Afum_12_7504462_mRNA_02027,g007579,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-10_000409-T1,Afum_08_19_02_10_mRNA_00401,g007580,Afu2g03955-T-p1,4.5e-137,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_001719-T1,Afum_08_12_12_13_mRNA_01694,g007581,Afu2g17630-T-p1,6.6e-112,NA,NA,HsbA=1.8e-32,NA,NA,NA,NA
ASFUM08-12-12-13_010196-T1,Afum_08_12_12_13_mRNA_10014,g007582,Afu7g06040-T-p1,1.6e-113,NA,NA,EBP=2.3e-21,NA,NA,NA,NA
AF100-12-26_006290-T1,Afum_AF100_12_26_mRNA_09990,g007583,Afu3g07625-T-p1,8e-146,NA,NA,NA,NA,NA,NA,NA
ASFUM84-NIH_001719-T1,Afum_84_NIH_mRNA_01688,g007584,Afu1g16740-T-p1,6.9e-127,NA,NA,NA,NA,NA,NA,NA
AF100-10-5_004633-T1,Afum_AF100_10_5_mRNA_04467,g007585,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_007889-T1,Afum_08_12_12_13_mRNA_07750,g007586,Afu6g02810-T-p1,7.5e-126,NA,NA,Ctr=5.8e-38,NA,NA,NA,NA
ASFUM08-12-12-13_006184-T1,Afum_08_12_12_13_mRNA_06063,g007587,Afu5g13110-T-p1,5.5e-162,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_008087-T1,Afum_08_12_12_13_mRNA_07942,g007588,Afu6g04620-T-p1,1.1e-82,NA,NA,Complex1_LYR=6.7e-07;Complex1_LYR_2=2.5e-07,sp|P42114|NDUA6_NEUCR,9.4e-46,NDUA6_NEUCR,NEUCR
ASFUM08-12-12-13_007944-T1,Afum_08_12_12_13_mRNA_07803,g007589,Afu6g03310-T-p1,4.2e-146,NA,NA,Methyltransf_11=5.6e-06;Methyltransf_25=9.5e-10,sp|A0A2I1BSV7|NVFJ_ASPN1,1.8e-35,NVFJ_ASPN1,ASPN1
ASFUM08-12-12-13_000524-T1,Afum_08_12_12_13_mRNA_00513,g007590,NA,NA,NA,NA,Acylphosphatase=4.5e-26,NA,NA,NA,NA
ASFUM08-12-12-13_000199-T1,Afum_08_12_12_13_mRNA_00195,g007591,Afu2g01890-T-p1,1.3e-167,NA,NA,COQ7=5.7e-70,sp|P41735|COQ7_YEAST,3.4e-48,COQ7_YEAST,YEAST
IFM-61407_000801-T1,Afum_IFM_61407_mRNA_00786,g007592,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM1F1SW-F4_006395-T1,Afum_1F1SW_F4_mRNA_06301,g007593,Afu3g01930-T-p1,5.9e-157,NA,NA,PBP=2.6e-15,NA,NA,NA,NA
AZTEC-5-223_003281-T1,Afum_AZTEC_5_223_mRNA_03161,g007594,NA,NA,NA,NA,Acetyltransf_1=4.5e-14;Acetyltransf_10=1.1e-08;Acetyltransf_7=2.1e-09;FR47=2.4e-06,sp|Q18B70|ATSE_CLOD6,7e-28,ATSE_CLOD6,CLOD6
ASFUM08-12-12-13_003756-T1,Afum_08_12_12_13_mRNA_03681,g007595,Afu3g03070-T-p1,9.8e-158,NA,NA,zf-MYND=4.9e-11,NA,NA,NA,NA
ASFUM08-12-12-13_002897-T1,Afum_08_12_12_13_mRNA_02846,g007596,Afu1g12780-T-p1,4.9e-129,NA,NA,NA,NA,NA,NA,NA
AZTEC-9-222_006704-T1,Afum_AZTEC_9_222_mRNA_06467,g007597,NA,NA,NA,NA,PAC3=2.2e-08,NA,NA,NA,NA
ASFUM08-12-12-13_000442-T1,Afum_08_12_12_13_mRNA_00434,g007598,Afu2g04240-T-p1,1.6e-150,NA,NA,GST_C=1.1e-07;GST_C_3=7.6e-07;GST_N=1.7e-10;GST_N_2=2.2e-12;GST_N_3=1.1e-10,sp|O43123|MAAI_EMENI,2.9e-103,MAAI_EMENI,EMENI
F14532_006733-T1,Afum_F14532_mRNA_06588,g007599,Afu6g04705-T-p1,5.1e-106,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-10_001537-T1,Afum_08_19_02_10_mRNA_01514,g007600,Afu2g15270-T-p1,1.2e-90,NA,NA,SMP=6.9e-19;SMP=6.9e-19;SMP=6.9e-19,NA,NA,NA,NA
ASFUM08-12-12-13_000468-T1,Afum_08_12_12_13_mRNA_00459,g007601,Afu2g04460-T-p1,2.7e-194,NA,NA,His_Phos_1=5.4e-17,NA,NA,NA,NA
ASFUM08-12-12-13_008940-T1,Afum_08_12_12_13_mRNA_08787,g007602,Afu6g13890-T-p1,2.4e-212,NA,NA,Med4=5.7e-64,NA,NA,NA,NA
ASFUM08-12-12-13_006044-T1,Afum_08_12_12_13_mRNA_05937,g007603,Afu5g11930-T-p1,1.1e-151,NA,NA,RRM_1=1.3e-27;RRM_1=1.3e-27;RRM_5=1.5e-07,sp|O74968|RU1A_SCHPO,5.2e-54,RU1A_SCHPO,SCHPO
AF100-11A_006322-T1,Afum_AF100_11A_mRNA_06126,g007604,Afu5g13770-T-p1,7.4e-129,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_009312-T1,Afum_08_12_12_13_mRNA_09156,g007605,Afu8g03940-T-p1,3e-171,NA,NA,RRF=1.1e-45,NA,NA,NA,NA
ASFUM08-12-12-13_000792-T1,Afum_08_12_12_13_mRNA_00777,g007606,Afu2g08430-T-p1,8.2e-148,NA,NA,Hexapep=9.5e-15;Hexapep_2=7.9e-10;Mac=3.4e-13,sp|Q54UU2|Y0825_DICDI,5.7e-44,Y0825_DICDI,DICDI
ASFUM08-12-12-13_008794-T1,Afum_08_12_12_13_mRNA_08645,g007607,Afu6g12460-T-p1,1.3e-182,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_004224-T1,Afum_08_12_12_13_mRNA_04144,g007608,NA,NA,NA,NA,Ribosomal_L35Ae=3.6e-45,sp|Q9USX4|RL33A_SCHPO,6.5e-50,RL33A_SCHPO,SCHPO
ASFUM08-19-02-10_001833-T1,Afum_08_19_02_10_mRNA_01805,g007609_1,NA,NA,NA,NA,APH=3e-17,NA,NA,NA,NA
A1163_007868-T1,Afum_A1163_mRNA_07654,g007609_2,NA,NA,NA,NA,APH=5.8e-17;Choline_kinase=5.2e-06,NA,NA,NA,NA
ASFUM08-12-12-13_007640-T1,Afum_08_12_12_13_mRNA_07504,g007610,Afu4g05890-T-p1,4.8e-175,NA,NA,Methyltransf_16=4e-54,sp|P53970|EFM6_YEAST,1e-31,EFM6_YEAST,YEAST
ASFUM08-12-12-13_001874-T1,Afum_08_12_12_13_mRNA_01842,g007611,Afu1g02040-T-p1,7.7e-181,NA,NA,CAP=2.4e-18,sp|P47032|PRY1_YEAST,6.9e-25,PRY1_YEAST,YEAST
ASFUM08-12-12-13_003291-T1,Afum_08_12_12_13_mRNA_03229,g007612,Afu1g16635-T-p1,5.2e-156,NA,NA,DSBA=2.7e-23,sp|Q09652|GSTK1_CAEEL,7.4e-22,GSTK1_CAEEL,CAEEL
ASFUM08-12-12-13_000259-T1,Afum_08_12_12_13_mRNA_00255,g007613,Afu2g02480-T-p1,7e-176,NA,NA,EI24=5.9e-15,NA,NA,NA,NA
ASFUM08-12-12-13_005570-T1,Afum_08_12_12_13_mRNA_05475,g007614,Afu5g07270-T-p1,6.5e-171,NA,NA,RNA_pol_3_Rpc31=7.3e-65,NA,NA,NA,NA
B5269-CDC-24_004200-T1,Afum_B5269_CDC_24_mRNA_04098,g007615,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_007811-T1,Afum_08_12_12_13_mRNA_07673,g007616,Afu6g02110-T-p1,7.3e-147,NA,NA,SRF-TF=1.8e-22,sp|Q5AFP3|MCM1_CANAL,5.5e-51,MCM1_CANAL,CANAL
AZTEC-11-1066_007676-T1,Afum_AZTEC_11_1066_mRNA_07431,g007617,Afu4g05860-T-p1,1e-146,NA,NA,Oxidored_q6=5.4e-22,sp|O47950|NDUS7_NEUCR,1.2e-107,NDUS7_NEUCR,NEUCR
ASFUM08-12-12-13_008317-T1,Afum_08_12_12_13_mRNA_08171,g007618,Afu6g07740-T-p1,3.2e-154,NA,NA,PEX11=1.6e-76,sp|Q12462|PEX11_YEAST,2.5e-23,PEX11_YEAST,YEAST
ASFUM08-31-08-91_006848-T1,Afum_08_31_08_91_mRNA_06723,g007619,Afu4g07030-T-p1,1.1e-167,NA,NA,SAP=8.4e-10,NA,NA,NA,NA
ASFUM117535A-1_008954-T1,Afum_117535A_1_1_mRNA_08788,g007620,Afu5g10740-T-p1,8.1e-112,NA,NA,UMP1=8.5e-40,NA,NA,NA,NA
ASFUM08-12-12-13_005894-T1,Afum_08_12_12_13_mRNA_05789,g007621,Afu5g10470-T-p1,4.8e-168,NA,NA,DPBB_1=1.2e-08,NA,NA,NA,NA
ASFUM08-12-12-13_006015-T1,Afum_08_12_12_13_mRNA_05908,g007622,Afu5g11640-T-p1,1.1e-192,NA,NA,NA,sp|O74903|YCS3_SCHPO,3.8e-29,YCS3_SCHPO,SCHPO
AZTEC-7-225_004909-T1,Afum_AZTEC_7_225_mRNA_04765,g007623,NA,NA,NA,NA,Inhibitor_I78=1.6e-18,sp|B0XZT4|IELA_ASPFC,2.1e-53,IELA_ASPFC,ASPFC
F4S1B_008538-T1,Afum_F4S1B_mRNA_08462,g007624,NA,NA,NA,NA,NA,NA,NA,NA,NA
JN10_008827-T1,Afum_JN10_mRNA_08699,g007625,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_006975-T1,Afum_08_12_12_13_mRNA_06846,g007626,Afu4g07835-T-p1,5.7e-107,NA,NA,Mtr2=1e-07;NTF2=1.2e-10,NA,NA,NA,NA
ASFUM12-7505446_008254-T1,Afum_12_7505446_mRNA_08113,g007627,NA,NA,NA,NA,Spt4=8.4e-33,sp|Q4WU00|SPT4_ASPFU,1.9e-74,SPT4_ASPFU,ASPFU
ASFUM08-12-12-13_002917-T1,Afum_08_12_12_13_mRNA_02866,g007628,Afu1g12970-T-p1,9e-109,NA,NA,Cupin_1=1.4e-07;Cupin_2=1.1e-08,NA,NA,NA,NA
ASFUM08-12-12-13_006222-T1,Afum_08_12_12_13_mRNA_06101,g007629,NA,NA,NA,NA,DUF4604=4.6e-26,NA,NA,NA,NA
TP32_004842-T1,Afum_TP32_mRNA_04735,g007630,Afu3g14580-T-p1,1.7e-113,NA,NA,dUTPase=3.1e-14,sp|Q46EG2|DUT_METBF,2.3e-24,DUT_METBF,METBF
ASFUM08-12-12-13_001303-T1,Afum_08_12_12_13_mRNA_01284,g007631,NA,NA,NA,NA,CENP-T_C=7.5e-10;TAF=1.8e-06,sp|Q8NIQ8|H42_TALFU,6.7e-62,H42_TALFU,TALFU
ASFUM08-12-12-13_007796-T1,Afum_08_12_12_13_mRNA_07658,g007632,NA,NA,NA,NA,NA,NA,NA,NA,NA
JN10_006536-T1,Afum_JN10_mRNA_06423,g007633,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_003091-T1,Afum_08_12_12_13_mRNA_03033,g007634,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_003472-T1,Afum_08_12_12_13_mRNA_03407,g007635,Afu3g00550-T-p1,6.9e-101,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-46_005042-T1,Afum_08_19_02_46_mRNA_04931,g007636,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_007743-T1,Afum_08_12_12_13_mRNA_07607,g007637,Afu6g00500-T-p1,1e-218,NA,NA,Glyco_hydro_75=2.3e-60,sp|Q2U3M5|CSN_ASPOR,4.3e-55,CSN_ASPOR,ASPOR
ASFUM08-12-12-13_000261-T1,Afum_08_12_12_13_mRNA_00257,g007638,Afu2g02490-T-p1,4.5e-184,NA,NA,GST_C_2=1.2e-08;GST_N_2=5.9e-10;GST_N_3=4.6e-08,NA,NA,NA,NA
ASFUM08-12-12-13_000994-T1,Afum_08_12_12_13_mRNA_00976,g007639,Afu2g10670-T-p1,7.5e-148,NA,NA,SUR7=2e-24,NA,NA,NA,NA
AZTEC-14-484_001355-T1,Afum_AZTEC_14_484_mRNA_01336,g007640,Afu2g14820-T-p1,3.1e-171,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_003094-T1,Afum_08_12_12_13_mRNA_03036,g007641,Afu1g14580-T-p1,9.9e-181,NA,NA,Utp11=3.2e-58,sp|G0SF32|UTP11_CHATD,9.6e-30,UTP11_CHATD,CHATD
ASFUM08-12-12-13_005627-T1,Afum_08_12_12_13_mRNA_05531,g007642,Afu5g07850-T-p1,6.1e-221,NA,NA,DCP1=2.6e-29,NA,NA,NA,NA
ASFUM08-12-12-13_005838-T1,Afum_08_12_12_13_mRNA_05736,g007643,Afu5g09900-T-p1,1.3e-207,NA,NA,RTA1=4.2e-62,sp|P53047|RTA1_YEAST,4.3e-27,RTA1_YEAST,YEAST
ASFUM08-12-12-13_007843-T1,Afum_08_12_12_13_mRNA_07705,g007644,Afu6g02420-T-p1,2.6e-102,VOG05300,2e-26,UQ_con=1.1e-48,sp|P35128|UBE2N_DROME,3.3e-75,UBE2N_DROME,DROME
ASFUM08-12-12-13_003754-T1,Afum_08_12_12_13_mRNA_03680,g007645,Afu3g03060-T-p1,4.1e-123,NA,NA,NA,sp|A4FSH5|PHIA_ASPFM,5.8e-122,PHIA_ASPFM,ASPFM
ASFUM08-12-12-13_002983-T1,Afum_08_12_12_13_mRNA_02932,g007646,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-39_004343-T1,Afum_AF100_12_39_mRNA_04224,g007647,Afu3g09890-T-p1,1.2e-103,NA,NA,PTPLA=4.2e-19,NA,NA,NA,NA
ASFUM08-19-02-46_004769-T1,Afum_08_19_02_46_mRNA_04662,g007648,Afu3g03270-T-p1,2.2e-158,NA,NA,NA,sp|P21367|YCAC_ECOLI,4e-38,YCAC_ECOLI,ECOLI
ASFUM08-12-12-13_005778-T1,Afum_08_12_12_13_mRNA_05681,g007649,Afu5g09370-T-p1,2.9e-119,NA,NA,NA,NA,NA,NA,NA
F13619_008956-T1,Afum_F13619_mRNA_08707,g007650,Afu4g10560-T-p1,1.3e-118,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_007225-T1,Afum_08_12_12_13_mRNA_07093,g007651,Afu4g10290-T-p1,1.9e-114,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_009176-T1,Afum_08_12_12_13_mRNA_09022,g007652,Afu8g01638-T-p1,5.6e-127,NA,NA,GFA=4.7e-24,NA,NA,NA,NA
ASFUM08-12-12-13_007575-T1,Afum_08_12_12_13_mRNA_07439,g007653,Afu4g14030-T-p1,1.2e-114,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_003473-T1,Afum_08_12_12_13_mRNA_03408,g007654,Afu3g00560-T-p1,2e-131,NA,NA,MOSC=3.4e-08,NA,NA,NA,NA
ASFUM08-12-12-13_001221-T1,Afum_08_12_12_13_mRNA_01202,g007655,Afu2g13080-T-p1,1.6e-94,NA,NA,NUDIX=1e-17,sp|Q09790|APS1_SCHPO,2e-36,APS1_SCHPO,SCHPO
ASFUM08-12-12-13_003454-T1,Afum_08_12_12_13_mRNA_03391,g007656,Afu3g00400-T-p1,7.9e-114,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_010258-T1,Afum_08_12_12_13_mRNA_10076,g007657,Afu7g06610-T-p1,9.2e-126,NA,NA,Isochorismatase=1.3e-41,sp|G2X4M1|ISC1_VERDV,6.6e-68,ISC1_VERDV,VERDV
CM2495_003732-T1,Afum_CM2495_mRNA_03624,g007658,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_005010-T1,Afum_08_12_12_13_mRNA_04920,g007659,Afu5g00975-T-p1,2.3e-112,NA,NA,PLAC8=2e-25,NA,NA,NA,NA
AF210_004192-T1,Afum_AF210_mRNA_04100,g007660,NA,NA,NA,NA,VMA21=5.9e-16,sp|A1D7K7|VMA21_NEOFI,3.2e-62,VMA21_NEOFI,NEOFI
ASFUM08-12-12-13_004179-T1,Afum_08_12_12_13_mRNA_04100,g007661,Afu3g08040-T-p1,1.2e-93,NA,NA,RNA_pol_Rpb4=2.7e-27,sp|O74825|RPB4_SCHPO,4.6e-26,RPB4_SCHPO,SCHPO
A1159_006501-T1,Afum_A1159_mRNA_06359,g007662,Afu5g00800-T-p1,7.6e-84,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_004155-T1,Afum_08_12_12_13_mRNA_04076,g007663,Afu3g07945-T-p1,1.2e-102,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_000786-T1,Afum_08_12_12_13_mRNA_00771,g007664,Afu2g08370-T-p1,3.1e-103,NA,NA,MAPEG=8.8e-30,NA,NA,NA,NA
ASFUM08-12-12-13_000779-T1,Afum_08_12_12_13_mRNA_00764,g007665,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-10A_001326-T1,Afum_AF100_10A_mRNA_01308,g007666,Afu2g14661-T-p1,2.5e-81,NA,NA,Hydrophobin=1.7e-07,NA,NA,NA,NA
AF100-12-18_006733-T1,Afum_AF100_12_18_mRNA_06561,g007667,NA,NA,NA,NA,Fungal_lectin=1.1e-08,NA,NA,NA,NA
AF100-12-18_006384-T1,Afum_AF100_12_18_mRNA_06215,g007668,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_007595-T1,Afum_08_12_12_13_mRNA_07459,g007669,Afu4g14205-T-p1,3.8e-126,NA,NA,Nis1=1.7e-15,NA,NA,NA,NA
AF100-12-40_004705-T1,Afum_AF100_12_40_mRNA_04544,g007670,Afu3g13290-T-p1,1.2e-117,NA,NA,NA,NA,NA,NA,NA
